Time,Stock_Price,
750,72.5,87.5
751,75,90
752,72.5,92.5
753,70,95
754,72.5,97.5
755,75,95
756,72.5,92.5
757,75,95
758,77.5,97.5
759,75,100
760,77.5,102.5
761,80,100
762,82.5,97.5
763,85,100
764,82.5,102.5
765,80,105
766,82.5,102.5
767,85,100
768,87.5,97.5
769,90,95
770,87.5,92.5
771,90,90
772,92.5,87.5
773,95,85
774,97.5,87.5
775,95,90
776,97.5,92.5
777,100,95
778,102.5,92.5
779,100,95
780,102.5,97.5
781,100,95
782,102.5,92.5
783,100,90
784,97.5,87.5
785,95,90
786,92.5,87.5
787,90,85
788,87.5,82.5
789,90,85
790,92.5,87.5
791,95,90
792,92.5,87.5
793,95,90
794,92.5,92.5
795,95,90
796,97.5,87.5
797,95,90
798,92.5,92.5
799,90,95
800,92.5,92.5
801,90,95
802,92.5,97.5
803,95,95
804,92.5,97.5
805,95,100
806,97.5,102.5
807,100,100
808,102.5,102.5
809,105,100
810,102.5,97.5
811,100,100
812,102.5,102.5
813,100,100
814,102.5,102.5
815,100,100
816,102.5,102.5
817,105,105
818,107.5,107.5
819,110,105
820,107.5,107.5
821,110,105
822,112.5,102.5
823,115,100
824,112.5,102.5
825,115,100
826,117.5,97.5
827,115,100
828,112.5,102.5
829,115,105
830,117.5,102.5
831,115,105
832,112.5,107.5
833,110,110
834,107.5,107.5
835,105,105
836,102.5,102.5
837,105,105
838,107.5,107.5
839,110,105
840,107.5,107.5
841,110,105
842,112.5,107.5
843,110,110
844,112.5,107.5
845,115,105
846,117.5,107.5
847,120,110
848,122.5,112.5
849,125,110
850,127.5,112.5
851,125,110
852,127.5,107.5
853,125,105
854,127.5,102.5
855,130,105
856,127.5,107.5
857,125,110
858,122.5,112.5
859,120,110
860,122.5,107.5
861,120,105
862,122.5,107.5
863,125,110
864,122.5,107.5
865,120,105
866,122.5,102.5
867,120,105
868,122.5,107.5
869,125,110
870,127.5,112.5
871,125,115
872,122.5,112.5
873,125,110
874,127.5,107.5
875,125,105
876,127.5,107.5
877,125,105
878,127.5,107.5
879,130,110
880,132.5,107.5
881,130,110
882,127.5,107.5
883,130,110
884,127.5,112.5
885,125,110
886,127.5,112.5
887,130,110
888,132.5,112.5
889,130,110
890,132.5,112.5
891,130,115
892,132.5,117.5
893,135,115
894,132.5,117.5
895,135,115
896,137.5,117.5
897,140,115
898,137.5,117.5
899,140,120
900,137.5,122.5
901,140,125
902,137.5,122.5
903,140,125
904,137.5,122.5
905,140,125
906,137.5,122.5
907,135,120
908,132.5,122.5
909,130,125
910,132.5,122.5
911,135,125
912,137.5,122.5
913,135,120
914,132.5,117.5
915,135,115
916,132.5,112.5
917,135,110
918,132.5,112.5
919,130,110
920,127.5,107.5
921,130,105
922,132.5,102.5
923,135,105
924,137.5,102.5
925,140,100
926,142.5,97.5
927,145,95
928,142.5,97.5
929,140,100
930,142.5,97.5
931,145,100
932,142.5,97.5
933,145,100
934,142.5,97.5
935,145,95
936,142.5,97.5
937,140,100
938,142.5,97.5
939,145,100
940,142.5,102.5
941,145,100
942,147.5,97.5
943,150,100
944,147.5,102.5
945,145,105
946,142.5,102.5
947,145,100
948,142.5,102.5
949,140,105
950,137.5,107.5
951,135,110
952,132.5,112.5
953,135,110
954,132.5,107.5
955,130,105
956,127.5,107.5
957,125,110
958,122.5,112.5
959,120,110
960,117.5,112.5
961,120,110
962,117.5,112.5
963,120,110
964,122.5,107.5
965,125,105
966,127.5,102.5
967,125,105
968,122.5,107.5
969,120,105
970,117.5,102.5
971,115,100
972,112.5,102.5
973,110,105
974,107.5,107.5
975,105,105
976,107.5,107.5
977,105,105
978,107.5,107.5
979,105,105
980,107.5,102.5
981,110,105
982,112.5,102.5
983,110,100
984,107.5,102.5
985,110,100
986,112.5,97.5
987,115,100
988,112.5,102.5
989,110,105
990,107.5,102.5
991,105,105
992,107.5,102.5
993,110,105
994,112.5,107.5
995,115,105
996,112.5,102.5
997,110,105
998,107.5,102.5
999,105,105
1000,100,100
